question_id,company_id,source_url,doc_title,source_type,page_or_section,source_priority,crawl_allowed,link_check,source_detail_note,file_url,evidence_text,confidence
emni-0001,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_empSttus.json,총원 20,high
emni-0002,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_empSttus.json,dataset_excel_reference,2024_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_empSttus.json,23 (2024),high
emni-0003,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_empSttus.json,29 (2023),high
emni-0004,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_empSttus.json,남 10/20,high
emni-0005,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_empSttus.json,dataset_excel_reference,2024_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_empSttus.json,60.9 (2024),high
emni-0006,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_empSttus.json,51.7 (2023),high
emni-0007,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_empSttus.json,여 10/20,high
emni-0008,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_empSttus.json,dataset_excel_reference,2024_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_empSttus.json,39.1 (2024),high
emni-0009,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_empSttus.json,48.3 (2023),high
emni-0010,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_empSttus.json,정규직 남 10,high
emni-0011,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_empSttus.json,dataset_excel_reference,2024_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_empSttus.json,14 (2024),high
emni-0012,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_empSttus.json,15 (2023),high
emni-0013,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_empSttus.json,정규직 여 9,high
emni-0014,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_empSttus.json,dataset_excel_reference,2024_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_empSttus.json,7 (2024),high
emni-0015,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_empSttus.json,12 (2023),high
emni-0016,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_empSttus.json,정규직 19/20,high
emni-0017,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_empSttus.json,dataset_excel_reference,2024_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_empSttus.json,91.3 (2024),high
emni-0018,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_empSttus.json,93.1 (2023),high
emni-0019,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0020,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0021,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0022,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0023,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0024,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0025,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0026,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0027,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0028,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0029,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0030,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0031,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0032,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0033,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0034,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0035,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0036,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0037,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0038,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0039,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0040,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0041,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0042,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0043,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0044,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0045,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0046,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0047,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0048,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0049,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0050,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0051,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0052,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0053,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723,2025_exctvSttus.json,dataset_excel_reference,2025_exctvSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2025_exctvSttus.json,임원 10명 중 여성 2명,high
emni-0054,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534,2024_exctvSttus.json,dataset_excel_reference,2024_exctvSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2024_exctvSttus.json,20.0 (2024),high
emni-0055,emni,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001778,2023_exctvSttus.json,dataset_excel_reference,2023_exctvSttus.json,1,True,direct filing page,,colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_주요정보/2023_exctvSttus.json,16.7 (2023),high
emni-0056,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0057,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0058,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0059,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0060,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0061,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0062,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0063,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0064,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0065,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0066,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0067,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0068,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0069,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0070,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0071,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0072,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0073,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0074,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0075,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0076,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0077,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0078,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0079,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
emni-0080,emni,,,dataset_excel_reference,,,False,,,,Not disclosed,
