question_id,company_id,source_url,doc_title,source_type,page_or_section,source_priority,crawl_allowed,link_check,source_detail_note,file_url,evidence_text,confidence
goldns-0001,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000991,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2025_empSttus.json,총원 46,high
goldns-0002,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000991,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2025_empSttus.json,남 12/46,high
goldns-0003,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000991,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2025_empSttus.json,여 34/46,high
goldns-0004,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000991,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2025_empSttus.json,정규직 남 12,high
goldns-0005,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000991,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2025_empSttus.json,정규직 여 34,high
goldns-0006,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000991,2025_empSttus.json,dataset_excel_reference,2025_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2025_empSttus.json,정규직 46/46,high
goldns-0007,goldns,,,dataset_excel_reference,,,False,,,,Not disclosed,
goldns-0008,goldns,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000802,2023_empSttus.json,dataset_excel_reference,2023_empSttus.json,1,True,direct filing page,,colletor-ai/output_restart_goldns_20260616/골드앤에스_일반자료_20260616/02_재무_신용/DART_주요정보/2023_empSttus.json,계약직 여 1,high
goldns-0009,goldns,,,dataset_excel_reference,,,False,,,,Not disclosed,
goldns-0010,goldns,,,dataset_excel_reference,,,False,,,,Not disclosed,
