company_id: emni
company_name: 이엠앤아이
doc_title: 2023_재무_CFS.json
source_url: 
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2023_재무_CFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2023_재무_CFS.json

# DART financial statement (2023_재무_CFS.json, year=2023)

## 재무상태표
- statement=재무상태표 | account=자산총계 | account_id=ifrs-full_Assets | 제 25 기=21,673,889,457 KRW | 제 24 기=19,598,113,800 KRW | 제 23 기=17,581,007,604 KRW
- statement=재무상태표 | account=유동자산 | account_id=ifrs-full_CurrentAssets | 제 25 기=14,086,346,437 KRW | 제 24 기=13,734,051,994 KRW | 제 23 기=11,997,115,029 KRW
- statement=재무상태표 | account=매출채권 | account_id=dart_ShortTermTradeReceivable | 제 25 기=3,023,473,224 KRW | 제 24 기=3,223,729,338 KRW | 제 23 기=4,140,074,309 KRW
- statement=재무상태표 | account=매각예정비유동자산 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=219,697,324 KRW | 제 23 기=- KRW
- statement=재무상태표 | account=파생상품자산 | account_id=-표준계정코드 미사용- | 제 25 기=299,259,416 KRW | 제 24 기=880,904 KRW | 제 23 기=56,404,454 KRW
- statement=재무상태표 | account=현금및현금성자산 | account_id=ifrs-full_CashAndCashEquivalents | 제 25 기=7,190,247,828 KRW | 제 24 기=5,840,564,201 KRW | 제 23 기=4,173,426,067 KRW
- statement=재무상태표 | account=계약자산 | account_id=ifrs-full_CurrentContractAssets | 제 25 기=76,964,467 KRW | 제 24 기=101,483,264 KRW | 제 23 기=64,384,800 KRW
- statement=재무상태표 | account=당기손익인식금융자산 | account_id=ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue | 제 25 기=1,107,590,811 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=재무상태표 | account=당기법인세자산 | account_id=ifrs-full_CurrentTaxAssets | 제 25 기=28,696,550 KRW | 제 24 기=4,887,680 KRW | 제 23 기=163,290 KRW
- statement=재무상태표 | account=재고자산 | account_id=ifrs-full_Inventories | 제 25 기=1,628,722,770 KRW | 제 24 기=611,500,577 KRW | 제 23 기=1,327,222,587 KRW
- statement=재무상태표 | account=기타유동자산 | account_id=ifrs-full_OtherCurrentAssets | 제 25 기=66,929,694 KRW | 제 24 기=458,947,724 KRW | 제 23 기=205,771,482 KRW
- statement=재무상태표 | account=단기금융상품 | account_id=ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents | 제 25 기=- KRW | 제 24 기=3,000,000,000 KRW | 제 23 기=2,000,000,000 KRW
