company_id: emni
company_name: 이엠앤아이
doc_title: 2024_재무_OFS.json
source_url: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2024_재무_OFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2024_재무_OFS.json

# DART financial statement (2024_재무_OFS.json, year=2024)

## 재무상태표
- statement=재무상태표 | account=자산총계 | account_id=ifrs-full_Assets | 제 26 기=23,551,729,353 KRW | 제 25 기=21,673,889,457 KRW | 제 24 기=19,598,113,800 KRW
- statement=재무상태표 | account=유동자산 | account_id=ifrs-full_CurrentAssets | 제 26 기=15,022,021,061 KRW | 제 25 기=14,086,346,437 KRW | 제 24 기=13,734,051,994 KRW
- statement=재무상태표 | account=파생상품자산 | account_id=dart_CurrentDerivativeAsset | 제 26 기=70,410,000 KRW | 제 25 기=299,259,416 KRW | 제 24 기=880,904 KRW
- statement=재무상태표 | account=매출채권 | account_id=dart_ShortTermTradeReceivable | 제 26 기=3,856,255,798 KRW | 제 25 기=3,023,473,224 KRW | 제 24 기=3,223,729,338 KRW
- statement=재무상태표 | account=현금및현금성자산 | account_id=ifrs-full_CashAndCashEquivalents | 제 26 기=7,712,485,910 KRW | 제 25 기=7,190,247,828 KRW | 제 24 기=5,840,564,201 KRW
- statement=재무상태표 | account=계약자산 | account_id=ifrs-full_CurrentContractAssets | 제 26 기=50,226,260 KRW | 제 25 기=76,964,467 KRW | 제 24 기=101,483,264 KRW
- statement=재무상태표 | account=당기손익인식금융자산 | account_id=ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue | 제 26 기=1,144,185,622 KRW | 제 25 기=1,107,590,811 KRW | 제 24 기=- KRW
- statement=재무상태표 | account=당기법인세자산 | account_id=ifrs-full_CurrentTaxAssets | 제 26 기=42,150,100 KRW | 제 25 기=28,696,550 KRW | 제 24 기=4,887,680 KRW
- statement=재무상태표 | account=재고자산 | account_id=ifrs-full_Inventories | 제 26 기=970,145,362 KRW | 제 25 기=1,628,722,770 KRW | 제 24 기=611,500,577 KRW
- statement=재무상태표 | account=매각예정비유동자산 | account_id=ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=219,697,324 KRW
- statement=재무상태표 | account=기타유동자산 | account_id=ifrs-full_OtherCurrentAssets | 제 26 기=111,267,290 KRW | 제 25 기=66,929,694 KRW | 제 24 기=458,947,724 KRW
- statement=재무상태표 | account=단기금융상품 | account_id=ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=3,000,000,000 KRW
- statement=재무상태표 | account=기타유동채권 | account_id=ifrs-full_TradeAndOtherCurrentReceivables | 제 26 기=1,064,894,719 KRW | 제 25 기=664,461,677 KRW | 제 24 기=272,360,982 KRW
- statement=재무상태표 | account=비유동자산 | account_id=ifrs-full_NoncurrentAssets | 제 26 기=8,529,708,292 KRW | 제 25 기=7,587,543,020 KRW | 제 24 기=5,864,061,806 KRW
