company_id: emni
company_name: 이엠앤아이
doc_title: 2025_재무_CFS.json
source_url: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000723
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2025_재무_CFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2025_재무_CFS.json

# DART financial statement (2025_재무_CFS.json, year=2025)

## 재무상태표
- statement=재무상태표 | account=자산총계 | account_id=ifrs-full_Assets | 제 27 기=13,398,607,856 KRW | 제 26 기=23,551,729,353 KRW | 제 25 기=21,673,889,457 KRW
- statement=재무상태표 | account=유동자산 | account_id=ifrs-full_CurrentAssets | 제 27 기=6,839,247,313 KRW | 제 26 기=15,022,021,061 KRW | 제 25 기=14,086,346,437 KRW
- statement=재무상태표 | account=매출채권및기타채권 | account_id=dart_ShortTermTradeReceivable | 제 27 기=2,329,467,448 KRW | 제 26 기=4,921,150,517 KRW | 제 25 기=3,687,934,901 KRW
- statement=재무상태표 | account=현금및현금성자산 | account_id=ifrs-full_CashAndCashEquivalents | 제 27 기=3,649,365,160 KRW | 제 26 기=7,712,485,910 KRW | 제 25 기=7,190,247,828 KRW
- statement=재무상태표 | account=계약자산 | account_id=ifrs-full_CurrentContractAssets | 제 27 기=- KRW | 제 26 기=50,226,260 KRW | 제 25 기=76,964,467 KRW
- statement=재무상태표 | account=당기손익-공정가치측정금융자산 | account_id=ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue | 제 27 기=- KRW | 제 26 기=1,144,185,622 KRW | 제 25 기=1,107,590,811 KRW
- statement=재무상태표 | account=당기법인세자산 | account_id=ifrs-full_CurrentTaxAssets | 제 27 기=31,177,110 KRW | 제 26 기=42,150,100 KRW | 제 25 기=28,696,550 KRW
- statement=재무상태표 | account=파생상품자산 | account_id=ifrs-full_DerivativeFinancialAssets | 제 27 기=- KRW | 제 26 기=70,410,000 KRW | 제 25 기=299,259,416 KRW
- statement=재무상태표 | account=재고자산 | account_id=ifrs-full_Inventories | 제 27 기=355,187,541 KRW | 제 26 기=970,145,362 KRW | 제 25 기=1,628,722,770 KRW
- statement=재무상태표 | account=기타유동자산 | account_id=ifrs-full_OtherCurrentAssets | 제 27 기=474,050,054 KRW | 제 26 기=111,267,290 KRW | 제 25 기=66,929,694 KRW
- statement=재무상태표 | account=비유동자산 | account_id=ifrs-full_NoncurrentAssets | 제 27 기=6,559,360,543 KRW | 제 26 기=8,529,708,292 KRW | 제 25 기=7,587,543,020 KRW
- statement=재무상태표 | account=기타비유동채권 | account_id=dart_LongTermTradeAndOtherNonCurrentReceivablesGross | 제 27 기=248,348,178 KRW | 제 26 기=281,797,828 KRW | 제 25 기=247,573,800 KRW
- statement=재무상태표 | account=무형자산 | account_id=ifrs-full_IntangibleAssetsOtherThanGoodwill | 제 27 기=1,744,138,081 KRW | 제 26 기=3,778,736,575 KRW | 제 25 기=3,959,714,526 KRW
- statement=재무상태표 | account=투자부동산 | account_id=ifrs-full_InvestmentProperty | 제 27 기=1,829,460,159 KRW | 제 26 기=1,846,091,479 KRW | 제 25 기=1,894,581,979 KRW
- statement=재무상태표 | account=유형자산 | account_id=ifrs-full_PropertyPlantAndEquipment | 제 27 기=2,737,414,125 KRW | 제 26 기=2,623,082,410 KRW | 제 25 기=1,485,672,715 KRW
- statement=재무상태표 | account=자본총계 | account_id=ifrs-full_Equity | 제 27 기=10,173,968,496 KRW | 제 26 기=14,910,818,124 KRW | 제 25 기=13,714,881,872 KRW
- statement=재무상태표 | account=지배기업의 소유주에게 귀속되는 자본 | account_id=ifrs-full_EquityAttributableToOwnersOfParent | 제 27 기=10,341,646,631 KRW | 제 26 기=14,910,818,124 KRW | 제 25 기=13,714,881,872 KRW
- statement=재무상태표 | account=자본잉여금 | account_id=dart_CapitalSurplus | 제 27 기=2,676,141,389 KRW | 제 26 기=2,676,141,389 KRW | 제 25 기=2,676,141,389 KRW
- statement=재무상태표 | account=기타자본항목 | account_id=dart_ElementsOfOtherStockholdersEquity | 제 27 기=-155560941 KRW | 제 26 기=-155560941 KRW | 제 25 기=151,268,193 KRW
- statement=재무상태표 | account=자본금 | account_id=ifrs-full_IssuedCapital | 제 27 기=10,670,164,500 KRW | 제 26 기=10,670,164,500 KRW | 제 25 기=10,670,164,500 KRW
- statement=재무상태표 | account=이익잉여금 | account_id=ifrs-full_RetainedEarnings | 제 27 기=-2849098317 KRW | 제 26 기=1,720,073,176 KRW | 제 25 기=217,307,790 KRW
- statement=재무상태표 | account=비지배지분 | account_id=ifrs-full_NoncontrollingInterests | 제 27 기=-167678135 KRW | 제 26 기=- KRW | 제 25 기=- KRW
- statement=재무상태표 | account=자본과부채총계 | account_id=ifrs-full_EquityAndLiabilities | 제 27 기=13,398,607,856 KRW | 제 26 기=23,551,729,353 KRW | 제 25 기=21,673,889,457 KRW
- statement=재무상태표 | account=유동부채 | account_id=ifrs-full_CurrentLiabilities | 제 27 기=2,292,578,450 KRW | 제 26 기=7,900,408,514 KRW | 제 25 기=7,068,667,523 KRW
- statement=재무상태표 | account=파생상품부채 | account_id=dart_CurrentDerivativeLiabilities | 제 27 기=- KRW | 제 26 기=749,430,000 KRW | 제 25 기=1,561,947,907 KRW
- statement=재무상태표 | account=유동성신주인수권부사채 | account_id=dart_CurrentPortionOfBondWithWarrant | 제 27 기=- KRW | 제 26 기=1,936,800,447 KRW | 제 25 기=1,473,639,480 KRW
- statement=재무상태표 | account=유동성전환사채 | account_id=dart_CurrentPortionOfConvertibleBonds | 제 27 기=- KRW | 제 26 기=920,414,896 KRW | 제 25 기=- KRW
- statement=재무상태표 | account=매입채무및기타채무 | account_id=dart_ShortTermTradePayables | 제 27 기=1,517,722,020 KRW | 제 26 기=3,558,186,708 KRW | 제 25 기=3,501,069,486 KRW
- statement=재무상태표 | account=계약부채 | account_id=ifrs-full_CurrentContractLiabilities | 제 27 기=23,135,222 KRW | 제 26 기=14,042,702 KRW | 제 25 기=53,466,666 KRW
- statement=재무상태표 | account=유동성리스부채 | account_id=ifrs-full_CurrentLeaseLiabilities | 제 27 기=237,330,965 KRW | 제 26 기=186,011,866 KRW | 제 25 기=298,280,436 KRW
- statement=재무상태표 | account=충당부채 | account_id=ifrs-full_CurrentProvisions | 제 27 기=88,029,298 KRW | 제 26 기=77,971,074 KRW | 제 25 기=56,854,262 KRW
